timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
18921,-3.386,-3.386,-3.386,-43.144,-43.144,-43.144,2
18955,11.233,11.233,11.233,143.135,33.76,-33.34,2
18989,1.539,8.13,9.387,8.278,7.843,7.843,2
19023,-3.694,8.109,8.002,2.35,1.961,1.961,2
19057,15.234,9.256,18.312,-6.905,-5.89,-5.89,2
19091,-0.924,11.185,11.079,0.549,0.0,0.0,2
19125,-12.619,11.906,14.465,-7.095,-5.89,-5.89,2
19159,0.462,11.345,11.387,4.471,3.922,3.922,2
19193,-11.849,9.15,12.157,14.275,13.725,13.725,2
19227,4.463,4.463,4.463,56.862,186.272,186.272,2
19261,-16.158,-16.158,-16.158,-205.887,-205.887,-205.887,2
19295,2.616,2.616,-14.158,-180.397,-19.615,-19.615,2
19329,0.0,0.0,0.0,17.578,17.647,17.647,2
19363,3.693,3.693,3.693,47.058,-34.973,141.174,2
19397,-11.542,-4.491,-4.463,-56.87,-2.182,-1.968,2
19431,19.235,19.235,19.235,245.094,245.094,245.094,2
19465,0.0,0.0,0.0,-52.734,-50.987,-50.987,2
19499,-1.693,-1.693,-1.693,-21.576,32.043,-3.929,2
19533,8.925,3.56,12.926,-46.234,-45.105,-45.105,2
19567,-1.847,-1.847,-1.847,-23.537,-22.697,101.959,2
19601,-11.388,6.546,15.85,-18.745,-17.654,-17.654,2
19635,-1.847,-1.847,-1.847,-23.537,-10.689,-115.692,2
19669,19.543,13.565,13.388,8.476,7.843,7.843,2
19703,6.74,6.617,6.617,84.312,84.312,-15.694,2
19737,0.0,15.388,15.388,-13.733,-13.733,223.526,2
19771,6.155,6.155,-0.308,-3.929,-182.358,-182.358,2
19805,19.389,19.389,18.773,239.212,101.959,101.959,2
19839,-0.001,-0.001,-6.617,-84.32,245.094,245.094,2
19873,2.924,2.924,10.31,131.371,37.254,37.254,2
19907,4.616,4.616,2.154,27.451,-190.201,-190.201,2
19941,-9.849,-9.849,3.847,49.019,-33.34,-33.34,2
19975,-1.693,-1.693,6.617,84.312,-221.573,-221.573,2
20009,1.077,1.077,-7.387,-94.124,105.881,105.881,2
20043,-13.542,-13.542,-1.847,-23.537,205.879,205.879,2
20077,-0.154,-0.154,-2.463,-31.38,-225.494,-225.494,2
20111,1.847,1.847,1.385,17.647,54.901,54.901,2
20145,-2.463,-2.463,14.465,184.311,19.608,19.608,2
20179,6.925,6.925,13.695,174.507,101.959,101.959,2
20213,0.769,0.769,9.079,115.685,-33.34,-33.34,2
20247,-6.925,-6.925,8.925,113.724,-154.907,-154.907,2
20281,-0.154,-0.154,4.001,50.98,174.507,174.507,2
20315,-2.001,-2.001,-7.079,-90.202,25.49,25.49,2
20349,14.926,14.926,18.927,241.173,-233.337,-233.337,2
20383,1.231,1.231,17.388,221.565,180.389,180.389,2
20417,16.311,16.311,18.619,237.251,35.294,35.294,2
20451,-17.851,-17.851,-6.002,-76.477,-196.083,-196.083,2
20485,1.385,1.385,-10.618,-135.3,101.959,101.959,2
20519,13.695,13.695,-15.389,-196.083,-205.887,-205.887,2
20553,-1.386,-1.386,-8.618,-109.81,-1.968,-1.968,2
20587,-6.464,-6.464,-12.003,-152.946,76.469,76.469,2
20621,-5.079,-5.079,-8.926,-113.731,199.997,199.997,2
20655,-11.08,-11.08,14.619,186.272,96.077,96.077,2
20689,-2.617,-2.617,-1.386,-17.654,92.155,92.155,2
20723,-6.925,-6.925,6.925,88.234,-143.143,-143.143,2
20757,-1.078,-1.078,-1.232,-15.694,-174.515,-174.515,2
20791,18.619,18.619,4.001,50.98,227.448,227.448,2
20825,-3.694,-3.694,-5.848,-74.516,-11.772,-11.772,2
20859,2.462,2.462,-0.308,-3.929,60.783,60.783,2
20893,4.77,4.77,-18.005,-229.416,-209.808,-209.808,2
20927,3.847,3.847,-17.235,-219.612,-0.008,-0.008,2
20961,-2.77,-2.77,15.542,198.036,-58.83,-58.83,2
20995,3.693,3.693,-0.001,-0.008,176.468,176.468,2
21029,16.311,16.311,-17.697,-225.494,241.173,241.173,2
21063,-3.078,-3.078,13.234,168.625,-233.337,-233.337,2
21097,14.772,14.772,18.773,239.212,-13.733,-13.733,2
21131,-4.771,-4.771,15.388,196.075,-172.554,-172.554,2
21165,-17.697,-17.697,2.0,25.49,-178.436,-178.436,2
21199,-2.924,-2.924,-14.773,-188.24,131.371,131.371,2
21233,-5.694,-5.694,-4.771,-60.791,-33.34,-33.34,2
21267,-1.386,-1.386,10.31,131.371,207.84,207.84,2
21301,7.386,7.386,3.847,49.019,-111.771,-111.771,2
21335,19.081,19.081,11.079,141.174,66.666,66.666,2
21369,-6.464,-6.464,0.616,7.843,-111.771,-111.771,2
21403,-17.081,-17.081,-12.003,-152.946,131.371,131.371,2
21437,0.769,0.769,6.925,88.234,-76.477,-76.477,2
21471,-15.696,-15.696,-14.619,-186.279,29.411,29.411,2
21505,0.154,0.154,11.541,147.057,-245.102,-245.102,2
21539,14.619,14.619,-5.848,-74.516,245.094,245.094,2
21573,-0.924,-0.924,10.464,133.331,-17.654,-17.654,2
21607,8.156,8.156,2.308,29.411,-143.143,-143.143,2
21641,16.465,16.465,3.385,43.137,-205.887,-205.887,2
21675,1.693,1.693,-14.773,-188.24,182.35,182.35,2
21709,17.081,17.081,10.002,127.449,-186.279,-186.279,2
21743,-0.154,-0.154,-8.772,-111.771,-66.673,-66.673,2
21777,14.157,14.157,17.85,227.448,25.49,25.49,2
21811,10.925,10.925,5.078,64.705,-131.378,-131.378,2
21845,-2.617,-2.617,-11.542,-147.064,37.254,37.254,2
21879,18.312,18.312,-17.081,-217.651,107.841,107.841,2
21913,-3.54,-3.54,13.08,166.664,-113.731,-113.731,2
21947,1.847,1.847,3.078,39.215,-47.066,-47.066,2
21981,-0.154,-0.154,-0.462,-5.89,60.783,60.783,2
22015,-11.542,-11.542,-19.236,-245.102,-235.298,-235.298,2
22049,2.462,2.462,8.463,107.841,-221.573,-221.573,2
22083,-7.387,-7.387,11.695,149.017,-170.593,-170.593,2
22117,2.154,2.154,13.695,174.507,-29.419,-29.419,2
22151,9.079,9.079,8.002,101.959,-145.103,-145.103,2
22185,3.693,3.693,-0.924,-11.772,-156.868,-156.868,2
22219,3.693,3.693,-6.002,-76.477,-103.928,-103.928,2
22253,13.08,13.08,18.773,239.212,207.84,207.84,2
22287,-0.616,-0.616,-4.771,-60.791,103.92,103.92,2
22321,14.311,14.311,16.619,211.761,-237.259,-237.259,2
22355,-1.232,-1.232,14.003,178.429,192.154,192.154,2
22389,7.078,7.078,10.002,127.449,145.096,145.096,2
22423,-6.31,-6.31,-19.389,-247.063,229.408,229.408,2
22457,-3.386,-3.386,-8.464,-107.849,213.722,213.722,2
22491,-4.617,-4.617,-15.081,-192.162,141.174,141.174,2
22525,-1.847,-1.847,2.77,35.294,111.763,111.763,2
22559,17.388,17.388,-9.387,-119.614,237.251,237.251,2
22593,-3.694,-3.694,-5.233,-66.673,-162.75,-162.75,2
22627,-10.926,-10.926,-7.079,-90.202,-207.848,-207.848,2
22661,-1.539,-1.539,-1.539,-213.73,-213.73,-213.73,2
22695,-1.539,-1.539,-1.539,-19.615,46.791,45.097,2
22730,-10.311,-0.154,9.809,-145.103,-145.103,67.787,2
22764,5.232,5.232,10.137,90.195,90.195,105.82,2
22798,8.31,8.31,16.127,119.606,119.606,82.497,2
22832,-3.96,-0.935,9.959,2.441,-80.07,-78.438,2
22866,-3.369,-1.546,7.198,49.179,-68.169,-66.673,2
22900,0.0,-2.299,9.341,35.614,35.294,2.09,2
22934,-2.452,-2.309,-2.309,-29.419,7.69,5.882,2
22968,-0.462,-0.462,-0.462,-5.89,-5.89,-5.89,2
23002,-0.462,-0.462,-0.462,-5.89,-5.89,-29.327,2
23036,-2.615,-1.697,5.511,-27.077,-25.497,-15.732,2
23070,-1.232,-1.078,-1.078,-13.733,46.814,-25.497,2
23104,-17.697,-17.697,-17.697,-0.885,-0.008,-0.008,2
23138,-4.155,-4.155,-4.155,-52.948,64.24,62.744,2
23172,-2.309,-2.309,-2.309,-29.419,-29.419,-29.419,2
23206,-0.77,-0.77,-0.77,-9.811,-9.811,-43.015,2
23240,-3.386,-3.386,-3.386,-7.988,-7.851,-164.711,2
23274,6.129,8.76,19.501,-4.89,-15.648,-188.24,2
23308,2.46,4.915,14.274,28.053,-50.674,92.155,2
23342,-1.685,0.607,3.681,43.152,-15.457,-62.752,2
23376,-3.064,-3.078,0.754,56.671,-40.794,188.232,2
23410,-1.984,-5.832,-1.096,44.861,-83.817,-207.848,2
23444,-0.763,-5.368,4.117,-5.661,-19.554,190.193,2
23478,0.626,-4.596,4.274,-15.419,23.376,-27.458,2
23512,-0.455,-0.615,7.968,6.248,33.226,-86.281,2
23546,0.462,0.155,11.037,2.502,29.305,-58.83,2
23580,0.762,6.44,12.901,20.172,27.42,-72.556,2
23614,-0.168,9.809,12.454,-24.773,54.588,98.038,2
23648,1.674,8.13,16.586,-59.723,27.107,243.134,2
23682,1.222,5.982,11.979,-42.374,5.692,203.918,2
23716,-0.17,11.342,15.065,-20.737,72.182,145.096,2
