timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
22829,0.308,-9.387,-9.387,-119.614,-119.614,-119.614,0
22863,3.680,3.693,7.832,-11.330,-27.390,-27.458,0
22897,2.912,4.762,7.836,6.248,-21.461,-19.615,0
22931,2.755,4.915,7.223,-9.407,-21.523,-21.576,0
22965,1.381,6.596,7.996,19.928,-58.517,-56.870,0
22999,1.993,4.606,5.689,35.439,-70.175,-68.634,0
23033,4.294,5.382,5.999,21.782,-11.635,-9.811,0
23067,5.058,6.457,8.762,12.154,0.046,0.000,0
23101,3.829,4.153,6.914,10.109,-25.352,-23.537,0
23135,4.450,5.229,6.611,17.906,-33.134,-31.380,0
23169,4.288,7.220,7.079,2.304,-25.383,-23.537,0
23203,5.515,5.386,7.532,-7.439,-60.577,-60.791,0
23237,7.361,6.313,5.389,-27.077,-58.701,-58.830,0
23271,5.670,6.459,4.317,-17.365,52.666,50.980,0
23305,3.064,7.522,9.226,-42.511,17.410,15.686,0
23339,6.285,4.623,3.543,17.754,-136.650,-135.300,0
23373,3.077,3.078,3.537,17.754,17.647,17.647,0
23407,10.730,1.421,4.144,-5.653,-3.929,-3.929,0
23441,4.295,4.768,3.391,-7.645,-5.890,-5.890,0
23475,4.749,6.302,5.696,-3.624,-1.968,-1.968,0
23509,4.909,6.610,3.704,-7.629,-5.890,-5.890,0
23543,9.506,5.095,6.458,-3.586,-1.968,-1.968,0
23577,5.521,4.927,4.158,15.831,15.686,15.686,0
23611,6.134,4.622,4.770,4.143,3.922,3.922,0
23645,8.428,6.317,8.302,-7.401,-5.890,-5.890,0
23679,6.282,3.856,3.540,17.754,17.647,17.647,0
23713,7.663,4.321,4.155,15.831,15.686,15.686,0
23747,7.657,5.547,5.233,66.666,-7.553,3.876,0
23781,-6.771,-6.771,2.616,33.333,-198.044,-198.044,0
23815,0.923,0.923,5.098,8.064,7.843,1.984,0
23849,0.154,1.385,1.385,17.647,17.647,17.647,0
