timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
18272,-0.155,-0.921,9.806,0.481,-1.953,-0.008,0
18340,-0.307,-1.074,9.805,0.481,-1.953,-0.008,0
18408,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18476,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18544,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18612,-0.307,-1.074,9.805,0.481,-1.953,-0.008,0
18680,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18748,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18816,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18884,-0.154,-1.074,9.805,0.481,-1.953,-0.008,0
18952,-0.766,-2.149,9.801,0.481,-1.953,-0.008,0
19020,0.150,-0.766,10.114,0.496,-3.906,-1.968,0
19088,-0.155,-1.074,9.652,0.473,-1.953,-0.008,0
19156,0.305,-0.919,9.500,2.419,0.008,0.000,0
19224,0.304,-0.153,8.123,14.069,-1.900,-0.008,0
19292,0.763,-0.917,9.806,20.012,0.076,0.000,0
19360,0.153,-0.153,9.809,0.481,0.000,0.000,0
19428,-0.153,0.306,9.811,0.488,0.000,0.000,0
19496,0.001,0.000,9.657,0.481,-1.953,-0.008,0
19564,-0.307,0.305,9.657,0.481,-1.953,-0.008,0
19632,0.306,-0.306,9.809,0.481,0.000,0.000,0
19700,-0.152,0.153,9.657,0.481,-1.953,-0.008,0
19768,-0.001,0.153,9.657,0.481,0.000,0.000,0
19836,-0.153,0.153,9.657,0.481,0.000,0.000,0
19904,-0.001,-0.001,9.809,0.481,0.000,0.000,0
19972,-0.001,-0.614,9.807,0.481,-1.953,-0.008,0
20040,0.000,0.000,9.657,0.481,0.000,0.000,0
20108,0.306,0.460,9.659,0.481,-1.953,-0.008,0
20176,-0.001,0.153,9.657,0.481,0.000,0.000,0
20244,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
20312,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
20380,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
20448,-0.153,0.153,9.657,0.481,-3.906,-1.968,0
20516,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
20584,0.153,0.000,9.657,0.481,0.000,0.000,0
20652,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
20720,-0.460,0.305,9.657,0.481,-1.953,-0.008,0
20788,0.153,0.000,9.657,0.481,0.000,0.000,0
20856,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
20924,0.153,-0.153,9.809,0.481,-1.953,-0.008,0
20992,-0.154,-0.001,9.809,0.481,0.000,0.000,0
21060,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
21128,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
21196,0.306,-0.153,9.809,0.481,-1.953,-0.008,0
21264,-0.153,0.153,9.657,0.481,0.000,0.000,0
21332,-0.460,-0.616,9.807,0.481,-1.953,-0.008,0
21400,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
21468,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
21536,0.152,-0.153,9.809,0.481,-1.953,-0.008,0
21604,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
21672,-0.001,0.153,9.657,0.481,0.000,0.000,0
21740,-0.001,0.153,9.657,0.481,0.000,0.000,0
21808,-0.001,-0.001,9.809,0.481,0.000,0.000,0
21876,0.153,-0.153,9.809,0.481,-1.953,-0.008,0
21944,-0.153,-0.001,9.809,0.481,-1.953,-0.008,0
22012,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
22080,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
22148,-0.153,-0.001,9.809,0.481,-1.953,-0.008,0
22216,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22284,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22352,-0.001,0.153,9.657,0.481,0.000,0.000,0
22420,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
22488,-0.154,-0.001,9.809,0.481,-1.953,-0.008,0
22556,0.153,-0.153,9.809,0.481,-1.953,-0.008,0
22624,-0.001,0.153,9.657,0.481,0.000,0.000,0
22692,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22760,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22828,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22896,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
22964,0.153,0.000,9.657,0.481,-1.953,-0.008,0
23032,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
23100,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
23168,0.153,-0.153,9.809,0.481,-1.953,-0.008,0
23236,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
23304,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
23372,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
23440,-0.001,0.153,9.657,0.481,0.000,0.000,0
23508,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
23576,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
23644,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
23712,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
23780,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
23848,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
23916,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
23984,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
24052,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
24120,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
24188,-0.001,-0.001,9.809,0.481,0.000,0.000,0
24256,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
24324,-0.001,0.153,9.657,0.481,0.000,0.000,0
24392,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
24460,-0.153,-0.001,9.809,0.481,-1.953,-0.008,0
24528,-0.001,0.153,9.657,0.481,0.000,0.000,0
24596,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
24664,-0.001,0.153,9.657,0.481,0.000,0.000,0
24732,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
24800,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
24868,-0.001,0.153,9.657,0.481,0.000,0.000,0
24936,-0.001,0.459,9.658,0.481,0.000,0.000,0
25004,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25072,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
25140,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
25208,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25276,-0.153,0.153,9.657,0.481,-1.953,-0.008,0
25344,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25412,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
25480,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
25548,-0.001,0.153,9.657,0.481,0.000,0.000,0
25616,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25684,-0.001,0.153,9.657,0.481,0.000,0.000,0
25752,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
25820,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25888,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
25956,-0.001,-0.001,9.809,0.481,-1.953,-0.008,0
26024,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
26092,-0.001,0.153,9.657,0.481,-1.953,-0.008,0
