timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
67093,5.981,-4.882,5.499,2.220,1.961,1.961,0
67127,6.592,-3.960,6.116,0.298,0.000,0.000,0
67161,6.745,-4.572,5.807,6.142,5.882,5.882,0
67195,6.745,-4.572,5.653,0.275,0.000,0.000,0
67229,6.286,-5.034,5.039,-3.662,-1.968,-1.968,0
67263,8.122,-4.107,5.809,-5.577,-3.929,-3.929,0
67297,7.968,-3.648,6.117,6.157,5.882,5.882,0
67331,7.050,-4.725,5.193,15.877,15.686,15.686,0
67365,8.127,-3.954,5.043,15.869,15.686,15.686,0
67399,7.516,-4.263,4.428,21.698,21.568,21.568,0
67433,6.289,-4.574,4.427,21.698,21.568,21.568,0
67467,9.505,-5.328,4.577,15.846,15.686,15.686,0
67501,7.052,-5.491,2.584,7.935,7.843,7.843,0
67535,6.288,-5.187,2.739,-5.730,-3.929,-3.929,0
67569,6.900,-4.571,3.508,-13.504,-11.772,-11.772,0
67603,6.283,-4.574,3.814,-11.536,-9.811,-9.811,0
67637,4.137,-5.043,3.046,-3.761,-1.968,-1.968,0
67671,4.139,-5.655,3.043,0.145,0.000,0.000,0
67705,6.896,-5.338,5.344,-1.694,-0.008,-0.008,0
67739,6.586,-5.033,7.031,-1.610,-0.008,-0.008,0
67773,6.129,-5.188,7.031,-5.516,-3.929,-3.929,0
67807,6.283,-5.494,7.183,-7.462,-5.890,-5.890,0
67841,7.355,-5.797,7.948,-17.189,-15.694,-15.694,0
67875,5.675,-4.576,8.259,-32.799,-31.380,-31.380,0
67909,7.973,-5.794,4.729,-36.880,-35.301,-35.301,0
67943,5.977,-4.576,6.267,-58.289,-56.870,-56.870,0
67977,7.350,-4.110,6.728,-44.594,-43.144,-43.144,0
68011,7.499,-4.570,5.960,-29.007,-27.458,-27.458,0
68045,7.655,-5.182,4.425,-13.458,-11.772,-11.772,0
68079,7.050,-6.258,3.348,-5.699,-3.929,-3.929,0
68113,6.285,-4.727,5.193,-15.373,-13.733,-13.733,0
68147,6.132,-5.341,4.271,6.065,5.882,5.882,0
68181,9.043,-5.177,5.651,11.993,11.765,11.765,0
68215,9.041,-5.330,6.723,27.672,27.451,27.451,0
68249,7.817,-5.641,6.722,41.344,41.176,41.176,0
68283,7.971,-5.947,4.269,49.034,49.019,49.019,0
68317,7.819,-6.101,3.808,49.011,49.019,49.019,0
68351,7.361,-6.256,2.735,29.427,29.411,29.411,0
68385,6.439,-5.953,3.196,21.637,21.568,21.568,0
68419,6.132,-5.954,2.276,15.732,15.686,15.686,0
68453,7.206,-5.643,1.817,13.756,13.725,13.725,0
68487,6.131,-6.567,-0.179,7.797,5.882,5.882,0
68521,6.132,-5.954,0.590,-17.555,-15.694,-15.694,0
68555,5.367,-5.957,1.356,-1.892,-0.008,-0.008,0
68589,5.058,-6.265,0.589,3.929,3.922,3.922,0
68623,5.365,-6.110,0.436,-1.938,-0.008,-0.008,0
68657,6.588,-5.800,1.817,-11.635,-9.811,-9.811,0
68691,5.054,-6.419,2.427,-5.745,-3.929,-3.929,0
68725,5.367,-6.264,2.428,-17.464,-15.694,-15.694,0
68759,6.744,-5.339,5.957,-19.241,-17.654,-17.654,0
68793,4.597,-6.267,6.260,0.305,0.000,0.000,0
68827,8.279,-6.252,5.800,-17.296,-15.694,-15.694,0
68861,9.657,-4.254,8.874,-38.628,-37.262,-37.262,0
68895,4.586,-6.420,7.486,-13.306,-11.772,-11.772,0
68929,6.741,-5.186,7.797,-17.197,-15.694,-15.694,0
68963,6.895,-6.411,6.413,-25.078,-23.537,-23.537,0
68997,4.133,-5.349,7.337,-30.891,-29.419,-29.419,0
69031,5.516,-5.344,7.643,-21.111,-19.615,-19.615,0
69065,3.828,-5.657,5.803,-9.483,-7.851,-7.851,0
69099,5.363,-6.571,5.646,-3.632,-1.968,-1.968,0
69133,6.128,-6.108,7.334,-3.548,-1.968,-1.968,0
69167,5.053,-5.959,6.568,8.133,7.843,7.843,0
69201,6.129,-5.495,6.570,8.133,7.843,7.843,0
69235,7.202,-5.337,6.110,13.969,13.725,13.725,0
69269,8.888,-4.718,8.412,23.849,23.529,23.529,0
69303,6.589,-4.573,9.179,37.560,37.254,37.254,0
69337,6.132,-5.188,6.111,56.938,56.862,56.862,0
69371,7.205,-5.490,3.197,62.653,62.744,62.744,0
69405,6.591,-5.492,3.810,43.152,43.137,43.137,0
69439,5.979,-5.648,1.664,37.186,37.254,37.254,0
69473,8.742,-5.331,1.818,29.381,29.411,29.411,0
69507,7.199,-5.797,1.203,15.678,15.686,15.686,0
69541,7.507,-4.570,1.821,-3.822,-1.968,-1.968,0
69575,7.046,-4.878,0.901,1.991,1.961,1.961,0
69609,7.356,-5.643,-0.482,7.782,5.882,5.882,0
69643,8.120,-5.180,-0.940,-15.678,-15.694,-15.694,0
69677,6.432,-4.114,0.904,-37.071,-35.301,-35.301,0
69711,6.588,-5.186,0.746,-29.266,-27.458,-27.458,0
69745,5.516,-5.804,0.897,-27.306,-25.497,-25.497,0
69779,4.445,-4.888,3.200,-35.004,-33.340,-33.340,0
69813,7.821,-3.801,6.116,-21.187,-19.615,-19.615,0
69847,6.436,-4.880,3.660,2.129,1.961,1.961,0
69881,6.589,-3.654,6.270,-25.085,-23.537,-23.537,0
69915,10.418,-1.646,11.949,-13.084,-11.772,-11.772,0
69949,7.811,-4.262,5.808,6.142,5.882,5.882,0
69983,9.193,-4.716,6.726,-25.063,-23.537,-23.537,0
70017,7.960,-5.488,5.190,-36.858,-35.301,-35.301,0
70051,6.129,-4.115,8.414,-60.135,-58.830,-58.830,0
70085,6.896,-4.112,9.334,-58.136,-56.870,-56.870,0
70119,6.132,-3.961,7.189,-46.524,-45.105,-45.105,0
70153,5.823,-3.963,7.035,-27.000,-25.497,-25.497,0
70187,7.204,-5.031,7.031,-13.329,-11.772,-11.772,0
70221,6.285,-4.880,6.112,0.298,0.000,0.000,0
